aadi	bueno; sí
aaga	esconderse; guarecerse; ocultarse
aagawi	monteador
aajgawi	retirar seres malignos mediante
aakenta	estar acompañado
aani	bueno; si
aantiti'	juan garrote; san pedro
aara'	Loro
aau	abruge antofí
abeja	africana
abr	abr moowe; moo
abru	aaugenta; zoc genta
acné	emel anat ditadan duura
aconsejar	amonestar
acostumb	cor luz tunguwaa
acu	paa minata
acuá	aguja; yuca
ades	debemos ar bien; equív jaike; hay que; jaikemagkre bejtaara; jaine; jaite aux hay que
adesivo	wa; ña
adje	agradable; supuestamente bueno
ador	leche materna
adver	nadic; ni bikki
aex	ensiones espaciales braateyeemekenta
afcitars	prést
agra	ble apariencia
agu	vrb
ahora	ale jaaya
ahu	pli gow yu; wigkilu; wigpila; wigtila
aire	ef
ajga	echar
ajgar	andar; pasársela
ajgata	atajar; rebuscar
ajmikr	rebuscar
ajniko	and sigilo; cautela; disimulo; nos besamos
akkati	vrb
akkeya	al; recíprocamente; vrbt inversamente
akkwa	andar; pasársela
ala	soowanisa; época dediiyowanisa
ale	arroyo profundo; cé; pet
alg	waugowi
algo	dibujar; diseñar; escribir
ali	mentos; mentos cocidos; que
alimento	sugganiri
alinterlo	bien; tte im otro
alir	adj esparcir tabaco escupiéndolo
allí	eter
almace	esparcir achiote
altas	sentir calor
amatagkre	pron
ambiente	saanituuriwaa
ame	icana
amma	usted
ammarati	na kakkeyurade
ammata	pron
ammayu	usted
ammi	loorensukra; ra; ral que kra
ammni	juuyamakra; luggalina kra; uuyamalkra
amta	pr pron
anat	cuba
anfi	bocachico; colectar pescado; ennaka jiompli bocachico; pescado; waakayeri
anfibio	rhinella marina
angus	desasosiego; lwos tia
angustia	año waabrariya
ani	alargándose; ales; andar; brakk males; caldero males; cosas; descuerar; desgra mel kwakwagoti; ensortijado; flexible pigawxa; largo; les; les grandes; males; objetos lejanos; objetos macizos jassakati; objetos macizos jassakatimata; plantas; tua males
anima	ahogarse; grandes; les domésticos; objetos macizos kwannakri; objetos yaametuu; plantas; tikri
animal	sunari
animales	quiv
antig	casa completamente cerrada
antiguos	ette chorida; ibrinanta; tiibrimanta
anudan	armadillo
apa	abrubr riencia; riencia
apagar	extinguir; tabacos; tizones
apariencia	bejnooniwaa
ape	mana
apo	kr yado; yado
appet	dea devolver; navidad
apro	junio; mapa ximadamente entre mayo; pisingo
aprovecha	equi dos
aproxima	enero; exc damente entre diciembre; hter; mayo; tte entre diciembre
aproximada	bisk abuelo; cañandonga; degustar; familia; hy kraa chorida; wakkwi nen inferior
aproximarse	arco kwaana; ukketoo
apófisis	chacha
ara	araña; auna; basura; neac; nom nom escoba
arc	bric mucho
ares	coral
arittukra	bonisa
arma	kwiiwita cera cazadora
armadi	azúc llo koobru sijbrida; waasu koroda
arti	cé; ión
articula	ción; cé
ase	contr deroso; serenar
asegurar	atemori; mowii
asen	miento; timiento; vrbtrs tostar granos
asenti	afirmación; miento
asesi	asolar; exterminar; jaike nar
aseve	te
aspecto	dado
así	mono
ata	juugku; tecriya eleocharis mu
atemorizarse	asustarse
att	ranu
atti	gowi
auricu	ar
ave	aglios at cheraare; batata; bochere; briggera chondrohieex uncinatus; bukkachu campylorhynchus; cabello kwiikra; carrao; cero; chicaloa; cl joojo; galápago; garrapatica; gatopardo; guardacaminos; gwajbri saarasakka; hypnelus raficollis; joochochi; juuntu momotus moa; juuntukcera bula ruficauda; kaggakwa; kaggwakwa; kajpimpiro; kochere; krogkrero campephilas; kukkwa chu chordeiles acutipennis; kwaagkwari; leptodon cayanensis; lojkattodaggera; mare; nyctidromus al; objetos largos gruuta; ojoso; owciowe; paaligru ortalis garrala; pai pai; partir; picar; pierna barbalito; pooñig; ro aramides; roj aramides cajanea; romper creer cortejar moo; rukku otus choliba; squamma carpintero; toontato; ussuussu; waagko; wikkrasu aicrastur semitorquatus; árboles covador
avispa	eléc bocachico; tábanc waasu koroda
awat	aturdidamente; pasmadamente
aye	bejuquillo; tizón; verja
añoj	extenderse; imp dasa beporar
baarbaka	barbaca; malva
babilla	bagre; bal zoo bot kajbrikati
bar	badense; nom
bas	véanse guras
baño	barba
bebidas	babilla
bee	añña; biikra; dichooro; dichorittu; intg dónde; kwitta
bej	no
bejaco	kallo koroda gouania polygama
bejkaa	bienestar; prosperidad; waa
bejuco	bienpa ugwa; cydista lilacina kccgwi cauchera; maññakra desmoncus anthos; tannikra baukrinia glabra
bembra	hígado
bes	como; desaparecer; desvanecer
bii	biikrananta; biikunanta; kragorí; krananta; ss kragori; ukk tikkwi
biilu	mico
biiya	cuento; historia; no cuesta; nom narración; taara loc nadie
biiyan	dewe; leopardus wiedii; rdus pardalis; tigrillo puma yagouaroundi
bijlad	ni cuánto
bila	mana; saíino
billber	gi
binniki	binnikika kaaga; chinchilin; cómo amanecimos; cómo estás
biser	vri estar bien
bitt	puerco
bitta	waagra; weagra emnaka
bittakra	tres ma
bla	tapaculo; és
blando	gruuke
blo	mosca real
bojnika	vrb
bol	beckara; dajrekko; meckara ampelocera tula
bollo	redondo
bot	blanca wakkcro hura crepitans; ca maasicha; horcón; quito tujgabru; rujgaka; sonti; st árbolñaakrini
bou	bledo; polvillo
bra	brabrada
braa	bra trb; braate brate vrb; clasificador; clasificados; impar; otro
braateriya	reunión
brakka	gr bra
bran	no sé cómo amaneceré
bre	bres
bree	kwa; objetos grandes; refiriéndose seres humanos; riéx macizos; yac animales grandes
breekriga	vrb
breekwa	vrb
breew	vrb yacer acostado
brii	ar; clasificador; clasificador ma macondo; ef; imp tcycemekenta; kweckkwe; macizo; pl bol; tos grandes cóncavos; yori; zf
briikanakke	estim nisa
brikki	detrás
brikkianna	no vrb
broo	brona
bujes	carauta
bukka	yerno
bukkra	asog; buukrajooni; joonawa; kaapato; raasonti; rakkwata; uttu
bun	an bien consumible jaru
buti	yaya
butt	persuadir; recomendar; vr aconsejar
butte	pelar
buu	rari
buul	ette butteriya; nc pensamiento tradición
buurama	cuando quiera; nom buw riñón; siempre
cabalgar	caballete
cacique	pcenarikraa
cada	canto
cai	makwati; sog; uma
caja	nea
cal	ceiba roja; cor fragmentarse; eros
cala	biiyu; calabacito; ciertas frutas; guartinaja; nomc kweeru; owerisw canast cho; tivabl bazos
calabazo	bonga majagua
caldo	camino ruuña
cami	nan erguidos; objetos largos naajgriga
can	aguas explayas
cangrejo	canilla; cañón
canti	bre dad; cón dad
car	in thaginensis; nnensis
carac	suero
caracte	ekkeda; guiar; kolla; nulekwa gota btrs ncaminar
cari	batará
cariaco	avekrcc bot mibis caye
carní	voro conepatus semistriatas
cases	num esta dos; objetos
casi	dtr num todo; todos
castiga	fresco
castigo	cenizo
catutikkwi	iigkri
cau	chirrío; coquetear; provocar; retar
cer	ant cano
cera	cascabel
ceram	al bycidae
cerca	hamaca
cervi	mazama
cerámi	cc cos
chaa	cómo; qué
chachi	chi zoo bot
chiicho	chicho; chimila; chiquita
chiiso	chiso; chiva; venado
chivato	cha bot zoc
cho	chiimila; nom rida
chorotto	ardita
chuj	monstruo caníbal delas historias
cica	didae
cier	males
ciertos	bres; pe mino
cinta	no vrb
cionar	aparatos
cior	cambiarla; convertir
cié	tiya
cla	junco
clarida	ditis cóncavos briiteyeemekenta
clasi	kraakweeri; macizo; pequeño; po grande; rca grande; és ficar
clasifica	pequeño
clavícu	redondos wa
cls	kwa clasif cls alos
cobertura	cuero mesa cabelludo; árbolmanta
col	ciertos animales arbóreos; gado
cola	auxiliar; rar
cole	hter; sguardo issa oristunna
collin	sit
color	bledo; catabre; ruunta runta
com	br pletitud; objetos ung planos; tiva pletitud
como	alacranes; ciempiés; grillos; tiigruti mantis
compartir	dividir
completamente	conduci jara; owi
completi	plantas; tud
comporta	candeli miento aate; caney
comprome	terse maritalmente
comu	nales
confund	concha; congo
conoc	verano
cons	chotiws
conser	cera
conserva	mental
consistencia	oda
constela	iones
contar	copey wiiyakago
contener	prunnimata
convisos	kanne kanne
cor	goler descuartizar animales corag; macanear; rié tar selva
corporal	kwa clasificador
correr	costoso wawa
cosecha	animal kiirikiiriwa
cotia	hear palabra
cour	baril
cquiv	mojarra amarilla; praata
cre	lloro
criatu	cé
crío	ropa waggajiita
cua	tre vrbint tem trabajar
cuc	halla tropezar
cucarrón	gaapu; kcesa kosa
cue	kaaraare
cuen	an fincas; bosques; cultivos
cuer	liligowi; nudadas; objetos
cuerpo	angosto; eirregular liikwecri; keera cla; largo; ma; pequeño briitoye; rabia; rudeza; suumisu furia; ti clasificador; tii clasificador
cul	guerra
culi	calabazos; cubiertos; dos como ollas; os; pocillos
culti	ce vrbtrs bujm estrujar; kkiitikk vadas
cumbrera	curiosid arq
cumpli	naja
curcu	palizadas; veranillo
cwagowi	pagar
cyclocar	carmicera; cascabef; jooweju; pum ney jukka redonda
cás	éruto
cómo	relampagucar enla lejanía
cón	sl cavo progkri
daj	nariz
dakka	infección; pus
dappi	generalmente; pr saltar
debe	ellos ya nel llegaron
deca	okko na bint ntrar
decan	timplora
dedo	illo; kokkwa; kokkwa akkagala; kokkwa maapren ññari; piper ambellatam al jaabreraasekra
dee	manteca; mazamorra; panela
def	quinina; época laqueza
dejar	estar jissanckaa; moo; mooye
del	bittalorakccra; camajón sterculia apetala; cañaguate; dukkwakikkra; esparcir achiote; gaggwrakikkra; gaggwratowa; guasale; hacha; iro; jaakratoro; joññokwakra; kattukwadaggera; kon dedo anular; krooei; kuwimanta; mismo sexo; mundo humano; muru isa ita; numirintala; parentesco; rio; siudakra phaseolus vulgaris; tabrakka; tío; tío conejo; uklra occipucio; verde akkwabot nisa; véanse guras; wiisawi; wissa; yaaula; yama duusa duusa
demacrado	lakati; lakatika
deman	esfuerzo
den	sión
dendro	cida; danzar
deno	aj; akkwa vit rar; anda diciendo mentiras; anda hablando; ar carencia; aún llegado; discutir; incinerar; maíz verde; no; prender fuego nt rarse; reñir; suele vrb robar; waachate; werituukate
denotaque	sobre
departa	kiter martica; luci puyo delaf martica
des	arc tino final; armadillo; armadillo moján; bajar cl ánimo; cansar; casacaminata zoo yuniriya; cé; dasypus novemcinctus; dentado dasypus novemcinctus; desdicha; desestimular; dicha; equív; especie uurudero; likicwa garrados; linwiyera; liter nuestra madre; llo moján; mes; mimar; mocida; nuestros; quiv; reposar; rula; sutti; vrb; weaniani
desa	significar
desbordar	desért agua
desfalle	cimiento; cé
desgra	maíz
despla	akkwa
desplazarse	yu; yuu
deu	anamú; bautizar; cadillo; iv waaseewi fotografiar
dichot	cadena
did	ardita
diente	dijukka
diferen	tes especies puma yagouaroundi
dig	cuchillo; mazamorra
dih	encía; muela
dii	koggo kwekkwe
diiy	aguas grandes
diiyo	nompr; prést; throps mannar
dij	diente
din	corazoncillo; raicilla
dina	sacudirse
dio	ette koroda
dis	esposa; esposo; paral
dista	cerbatana
distin	diferenciarse; guirse
doler	obje wec
domes	cryp tica; ponche; simón; sut ciert suusu
domesti	coclada
domés	pato; rada
domést	azabache; moteno; negro
domésti	acuartelar
doo	malo
doochito	diosito
doowe	dem escuchar
dor	lucero; músculo gemelo na; wa
dormi	espiga
dose	bledo blanco; mono; num co uno; objetos; principio montari menos; ro; sommo; verdolaga
dujbranakaa	riwa
dujt	echar; tamarindo silvestre
dura	flor dekajkuusagra
durant	oír
duranteel	diggasa
duut	así pasé mi día
ebano	elev bot
ecena	kokkwa kwcerini; kokkwa kwecerini; kokkwa maññari; kokkwa sooweda; índice kokkwa akkagala
eegowaya	coclada
eekawi	alimentar
eekowaya	ponchera
eero	gallineta
efender	kisatuwi
ego	maltratar
egowi	odear
ejk	propio
ejme	vr allá
ejni	ai sangre
ekuna	moka ekuna piirogoye
ele	veckri
ello	tamarindo
embria	borrachera; mencador
empk	aunq; padre
enamo	ha rar; seducir
encogién	armadillo
engendrar	enjaulado
ennaka	chicharra; nom contrapietra
enumerar	kwakwita
envidi	ref yettatuwi
equ	currucuchú
equir	figar criar niños
ere	chinchorro
erpiente	jiwectowaya grutta mastiodryas pleri
erythro	canto; kochere; lazo; us
escorpión	loopo; paagwa
escu	lenta; mia
esp	ensoñación; santo; sueño
espa	acá; ciales; iales
español	ette
espe	groonto; gwragga; miiwiti; puerco; rtuga kinosternon; thag asustarse; to; todirostrum ni ad riceps; wiña
especie	chicharrón; roote
especiede	wiinti
est	desenterrar
esta	yaamenconiwaa
estac	agujeta; sombecro
estado	makkratuuriwaa
estante	canastos; rías
estar	acción; achiote; acorralar; animales; animales grandes; animales que; balanceándose; bot firicnd; dokka; jcerikaa; jissancka; jissanckaa; kejmeta; mayor guuri; mokri; naakati; naakatika; objetos; objetos largos brectakri; objetos macizos; objetos mo; ocupa robo; oenganchando; om sooweda; ri; tc animales grandes; ukka menor maññari; yaka; yanwa; árboles
este	nea; suegro
ette	indios; país; región
ettesa	puerco
ewa	prést
excel	bruuruwakra phaseolus
excremento	ganta clasificador
expre	pa; san
exten	ad desagradable; graw dido; pararse; rtado; sentado; yacer
extensi	moció ookiyaalla; ookiyala
fabricar	fahar; yaggriri
fami	bot hiaris; espec lia apodidac; idac; ixodowdca; licidac; oso; primo
famil	ripear
famili	dueños; padres
familia	in psittacidac
famni	pato; vidac
favor	pedir unyaanookwi
ferne	cé; gerlos; lia ves
figaraza	kaechuda
figur	bellota
figura	ardita; bija; caney; kreex; palma
fila	roor final jassasakreya
firiénd	ado ini; dipputtuda
fissa	guardacaminos; huyentona; ramada
fles	contestar
flexi	nompl vrb prést yuca
flexible	bujmisa
flui	foco
fogo	andar; malambo
fron	zoo dosa
fruto	castilla waacha dukkruwa
fuego	priimub reventarse
fígurars	paletilla
gaabra	bonisa pceñu; pecña
gaagawi	casarse; guindar
gaagri	estar colgado; objetos
gaala	mofar
gaanage	pelear violentamente
gaaneriya	morada
gaapu	cigarrero; ovejero
gaari	alto; gari goo adj vrb; grande
gaatu	sobrina
gaau	bocona
gaawa	gaiw vrb
gaawina	gwaaga nadar
gaggwawa	ad gatti
gaggwra	raicilla
gaira	galandria
gajbr	suegra
galli	gallinas; nazo bactris major; pavos
gallina	enano; kiironumida meleagris
galo	par sag sag
ganta	gen cls suf
garganta	garrapatero
gata	sobrino
gate	bracito
gec	waacha chorida
geco	pckkrutu sijbrida gonetodes albogularis; zoo tod reptiljoogkowellu pckkrutu
gee	awaluitu; cerdo verdadero; miitu; reesa ennaka; saajino; wuda
geen	tugranisa
general	vrb
geni	tales masculinos
giij	wiyettala
giip	alacrán
gite	españoles; guerreros
glan	um
glo	zarza blanca; zarza roja
goc	kora brinne
gotar	jaarowi; jazro
gouazou	krec bira
govazou	pisa
gra	animales; objetos; radio; taaukul badora; tensis
grabadora	jiilariu; jiilariyu; taarakakka; waacha gracias wecsa kwiiri; wecsa kwiiriche
gran	calderos; cóncavos; des felinos al olfatear; ef; huecos como calabazos; les; mico
gregarios	kwi clasificador
grisá	gabriira vilán pequeño
gru	mosa; ms
grue	chicharrita
grugga	desviarse
grutta	respeto; seriedad; solemnidad
gruu	respeto; takakkwi
gruuchakkwi	adulto; anciano; señor
grí	entidades kuuke humanas; num uno
gugga	abastecerse
gui	ensis
guien	difunto
gun	risu kraari; yaau takke; yaau takkesu; yaawak yajgasu gruttari
gutta	gu amanecer
gutteriya	dl morada
guttita	imp
guurisu	ancianos
gwaa	ya
gwajgowanisa	no
gwajgowi	socolar
gwraa	piecito
gwrakkebru	chirrio
habitacio	calabazos
habla	eagasaleka; enlengua indígena; ensangrentado
hablar	pl
había	vrbtrs nada
hace	mee estar colgado balanceándose
hacer	waarigowi
hacerlo	bugre bugregowi
haci	pr kwrcewita
haj	nc bri; raasog; raasonti; rakkwata
halarob	gos; melón
haleka	abuclito; cariño; peenarisu
ham	astr bre kikkradarinisa
har	noa jeta; seres humanos kutteycemekenta
hede	flexibles pigotaka; hasta arrancar objetos largos
her	cé; ef; isa isa mosa; mano; nana; nano; oorisu; sentari; yere ere
hexa	magd sonus
hicador	sin vellosidades
hie	pundungo
hii	chivato
hilo	plantas
hincar	tootuttusu
his	luna; rias tradicionales
hnir	han waawaka; wauka
hoja	vegetal
hor	btrs rciar; caminar imar gukkwa; kitari; ll ca btrs ejar; mangle; prést carnero; ttiwa wi btrs rciar
hori	adentrar dera; animales; huecos pronti; kroggoti; recipientes tiñña; waya owi tal sa
hormiga	diibri; traquitraqui
hrni	troncharse
hue	balones; comida cos uggutakri; dejar; nos cos como huevos; significar; tinajas
huma	animales; antiguos; armad dos; os; otros indigenas; pa; peniento indígena
humanoi	des
humi	kicwi pr abrillas
humsi	moowe lis
hydrochae	mana; saíno
icador	ancha; ao carreteable; jiibrekwari; macana; maciza; rabo; taakwanta; tabla dera
ificador	brazo
iglorabribri	nom vástiga
ikwa	bejsumunnaa
imesivo	enana
imie	peón
imper	bonito; ittikogratawa; monse monsetewa; nublado; tarur montañoso
indetermi	años
indus	rob trial
indí	migkre wi tuwi chee; sorghu nas
inferior	wettao
ingerir	tabaco
insec	tos
insecto	cocuyo
insul	frijol
inte	duerme dentro maca; saaragate kissasa
inten	kwee cionalmente; kwekkw cionalmente
interro	emb gativos; negativos; relativos; stivos
inverte	brados como grillos; casaa racoles; langostas
irbol	maatukra inga panamensis
iritu	yuuwari
ita	krcemedi
itrik	tierra plana
ittakra	pecho
itti	borrachera; desierto; majagua; ti ittibrajga
ittik	llegar
jaa	estante; num; takawa; zarzo
jaachoteru	achotero
jaakra	bocona; cabeza; impar; krateu om calvo; kratoro nom occipucio; otro; paakraputtu nom calvo; plantas; sardinita
jaame	venado
jaane	adj encima; sobre
jaawug	jabón
jabón	gooya; jo; job
jac	mtia sp
jachukwa	vrb
jannu	delasc kwane; llegaron rápido unos hombres
jaratuu	enfadar
jarta	añat kra
jatiki	desde; hasta
jatta	al final; dos ma; kogg dukkra
jau	vi vrb
jeen	así soñó; pegar
jegayo	jiikati ahogarse
jennika	vrb
jii	we
jiika	apl st radio; cuántos hijos tienes oral; grabadora; transmisor; waacha too; ón taarakakha
jiilariy	noa jiicha
jiina	jiiwa vrb
jiinaka	salir
jissanekaa	joj vrb
jiya	avergonzarse; sentir pena
jiyakaa	vrb
jna	carreto
jojl	tigre
jonta	hueco; perforado
joo	estriado; pero; rugoso
joog	joogkowellu; mico
joogko	erguir wella pekktrata
joogkowellu	espada; lagartija
jooro	ef; erguido; estar; gruposde jo objetos colgados; impar; jooromujna num dos; otro; proteyeemekenta num cinco; pundungo
joorodz	ron
jooromaajna	ef; num jo tres
joowariya	baño
jou	veranillo
joññokwa	pa
jukkrusa	dedo corazón; konne dedo medio
jun	loorensu; na; tos; uuyama
junco	juventud bot moción
jus	loorensu; uuya
juu	kra; loorensukra; nunca; uuyamakra rbita maxima
juumeriya	arrogero; arroyero; ronda
kaa	bint espirar; camisa; circula rakanta; clasificador; continentes; estar; hoja vegetal; ia; impar; limuttu; num; otro; paapelu; praata; ron; sangregado; sentirse; ser; ta; taanti nom; taauku; tabaco; tomar aliento; vrb
kaakri	uma mata; uti; uukri; uumata; uupe; wuta
kaarataka	kaaratakkewa; rawa
kaata	salir
kaawa	cigarrón; horqueta; kissuguuri; kreepog; ookranta; palo; seññomonte; trupillo
kaawuya	cabuya
kacabr	pedir; solicitar it
kaj	arc braganisa; bri; casearia sp; crabri; dassi; gee; horqueta dekaj jeenoya; paagwa ittiya; raasog; raasonti; rakkwata; ssara
kajbri	bei; kujbri; opporo; rokkrwa; rokkwa; sg; sog; ujbri; uma; waakwati
kajgwra	kuarupretto; nom novakra; paawa russw; patunisa ggwratikiwi
kajkuusagra	detierra
kajkwari	penca
kajnoo	romper monte; tirar
kajsantasantari	vara santa
kak	yuca
kakka	nubarrón; temporal
kakke	me gustaría; miiwiti mesa okowiyude
kakkewa	apodo
kan	awx; mit reesaennaka; saajino; tapaculo; tuuda
kannatu	ace bru
kanne	bejuco; bejuco tierra; iguana
kanta	no vrb
kassa	hoyador; hu kassa kassa nom; krawa; no diente canino; nu alanca; qu manta; sakkramanta; sontowa
katti	bitaciones; calabazos; clasificador; falta completitud; habitaciones; habitaciones eq; impar; objetos; otro
katto	calabazos; habitaciones pa
kattu	decra; dl kwadeera; sooweda buurari; sooweda decra; sooweda deera
kattukwa	deera; keeko daggera; sooweda buurari; sooweda deera
kattulrwa	daggera; kattulwadeera; sooweda buurari
kawero	acagúero
kazw	bersattuda; pela pela becsattuda
keera	extenso; no ancho
keert	que; sólo hilaba algodón
kej	menos
kenne	gkrete; yumm keya
kii	no hables; nokenta; papaya; simple
kiiri	animal desgraciado
kiirimakkra	co
kiitroga	pante
kisa	ces; continentes kaamujna objetos; dos; jetos anchos; redondos waamujna; vrb
kissu	kreepog; ookranta; rooro; suri
kiti	aceituno; ro
kkwi	vrb
kogg	manilla
kogh	loro
kogkowellu	lagartijas
kokke	despacio
koo	koo; ma bru ennaka
koogra	cla sificador; familia; impar; lom koogramujna; otro; tronchar; vrb koograte
koom	moolakka; moolakku; rela wa; ruchette
koona	pargatera
kopiyo	loba
kraa	adj kran mazorca grande; clasificador; ef; impar; no perico; orar; tra
kraar	liga
kraari	vr nom
kraart	vrb
kraas	cacao; num no dos
kraggwika	nu vrb
kraj	contrastantes
kranne	clasificados; fila; impar; jtro; neteyeemekenta jum nco; sin ramas
kraña	krañagoyc; nakkan gowi
kree	ef; nudillos; roun dillas; tobillos; vf nom an articulación
kreekakkwi	nom
kreekenta	voluntarioso
kreey	covador
kregkrero	carpinteros
krejkaa	sentirse respaldado
krejkakwa	apoyar; respaldar
kro	cacique
kroo	toosukroori; wi
kroori	aya; kroorimooya; kroorimooyaka; toosukroori; toosukroorí; waya
kroorimoo	osukroori
kuj	rocodylus sp
kun	morar; naagri vrbint provenir; que; residir
kunzaka	kuusakagatta
kuu	compa; compadre; matapiojos; sakagaabra; sakagatta
kuukara	mah cha; riirituu
kuuti	gow
kwaa	dom kwaati; ef; impar; kwaamujnz; kwagw kwaateyeemekenta vrb; objetos planos; otro; seres
kwaariyoriri	cuerpo plano
kwaj	macondo
kwajbr	vrb
kwajgri	kwan vrb
kwakwi	no vrb
kwanna	no vrb; waaw gee
kwee	gusano; veranito
kweg	no envasar
kwekkweri	grande
kwere	estado rini; kokkwa sooweda; kokkwa ta
kwiika	tío
kwitta	cavar; éa vrbtrs
kwraa	kwiiwita gu vrb
kwrecwi	kri
kwree	vri vrb
kwreekwa	ka vrb
kwrii	alebrestarse
laakwi	murciégalo
laaniki	afuera; exterior
laawi	murciégalo
labios	lagaña
lado	gwreedesbar seva gr
ladodel	jartiniki
ladu	maíz cuba
laggri	demorarse; tardarse
laje	gusano
lakkra	espinilla
lamen	santiago
lanta	ajnikra; armmnikra; bruttukolkra; majkra ipoatatas; muntimuntirakra; wecriya ittiya; wecriya ittiya morinda royoc; yaasi kenneriya momordica charantia; yummekra lagenaria ta
lar	cé tii; desmigajar; grillo cebollero; im gos; oblongos; tes gos; tiinti nitti; tiirin gos; tiranta
las	esdelosárboles; llegar hasta
lati	cone folio
