aadi	bueno; sí
lem	sia intege niscatus
lengua	habla; idioma; palabra
leopar	dus pardalis; leopardus wiedii
lesvá	brajgawita
lfligoti	alacrá desmenuzar
lia	añ; but ratón heteromys anomalus; currucuchú; mc; pigurars bukkachu; zorro chucho
liber	refiri pepo
ligkwa	num adj tres; refiri grumoso
lii	badense objetos desgarrados; cé; impar; tro; urers
lijmanta	vrb
lil	burros; caballete; estante; zarso
lili	vrb
limettu	liligowi nom vrb
limpiacasas	reptil zoo xim
lin	mosca
linga	guarumera; guinea moo; mowi bot paar guartinaja
lis	azulosas tretiosciatus; blancas
liter	compras
litto	contrapietra; corneta
lkati	lantaka vrb
llama	priimubira
llevar	gattibri
llo	breenso brenso; isa isa; paayani; tuugwa rugwa
llu	as aproximadamente entre junio; julio; veranillo
loj	daggera; waachikloo
looren	ra; uuyamakra; vg sukra
loorensu	lugga nom nom
los	baile; barbulito fa blanco; bonguita ceiba pentandra; bres cuyos; buuruganta; buññukwi; carretico aspidosperma polyneuron; conju pokkre; cucaracha; delgada; ef; guayacancito bulnesia arborea; ikkadikra; intestinos; jukkatutikkwi; juventud; kajwaruunisa; kanti; keera; palma ble; pequeño tamaño; perrito; plantas; rostro; rujgakanta; sdel mundo; seragkwa; snovemcincius; sombra no humana; tajdikra; ternura; tign nom thera mafufo; tobillo; toro; tuutawa; vg biladuggra cóccix; vw; wipproro; yoorotiirini
luciér	casarse; guindar
lugkre	escobilla blanca
lum	handroanthus billbergis
lun	guartinaja
maa	allá viven tus padres; ca remos más maiz; ci; ei; garakra mpl municaca; lapa; más; papose; ñaawikra
maaj	extingu gatagawi; gatagawi; maajgawi; maajgawita; tapaculo
maajga	frecuentar; saler
maajgata	fecar
maana	ad vrb; agua que asa
maanritii	abejajormis
maarigowi	morroc vrb
maatageri	siempre
maawi	agua cristalizada
maaza	aromo; carpinterito; guayacán chaparro
macabro	ma makradx
macj	figur
mad	saco; varón
made	ciertas frutas
madu	vencer
magda	buurukakkratari; lena; lena aarajakkratari; morrocoyo; muula
magdalena	diitake kweerini; diitake sal wakkani
maintoorc	caliche
maiz	ladu; lampu
maj	gu nakuusagranisa
maja	cejas anat cercar ukkrakikkrasagra
majkra	pl magkre batata pron
majnakun	wa
malifor	pl mara passif
mami	vrb
mamife	corzuela; mazama; venado
mamo	lla
mamí	aki; akkrakoro; dentado cabassous centralis; fero desdentado cabassous centralis; lakkrakoro chorida; nón; ro desdentado dasypas novemcinctus
man	vrb golero
mano	tear
mar	appal cha hoy; pialis
mara	maní
mari	si posas
marital	nte
marsupia	lis
matriz	útero
matta	intg nom cuál congo
mayo	peer res
mayoría	arbustos jaa; palmas; plantas cultivadas
maíz	carreto
maño	termitero
mañña	konne risu
maññari	borde prést
mchoroto	ardilla
meere	minagkreyane weekagaya; no nos enfermado
meeta	medicina
meewi	gatoco vrb
melano	dryocopus lineatus; leucos
melanoleu	carracachero
melera	peññukragga
men	naaregowiti; roosau
menos	cercas wi ear; gaari gari; jonsonaanta manta; krecre augurar krere; krecro krero; krokkro krokkro; kwekkweri; maari maarl; wiima wimari
mente	figar yuuguwi; gwajgawi; myias gwajgo; yuuti
menti	cé; padre delos yakkwa ette
mes	bolloblanco; kaktk bollo
mesem	nibiscayennensis
mesembri	cada; nibis cayennensis; phimosus infuscatus
mexi	cana; inón; oso caballo
mico	biiku; joo
mifero	querer
mii	das equis witi; sagkwa diitake
miisiri	saíno
mil	trabajo
minane	no regresé rápidamente
minniki	chinchilín
mno	blanco; cha waacha bajmipita; tres pics
mom	bin; enamorado; fruto demoorowa; in
mono	aret bot arará
montear	cé
moo	ascgurar; rekkawa alouatia seniculus
moomat	mooka prime vrb
moota	vrb
moowa	in moore ittiya
mooña	nom
mor	beekara gutteekaya; ticmpo
more	caluroso
mowíi	jobo
moxri	vrb
mueble	jaz
mul	icidad
multi	bre plicidad; cllos dijeron; ene plicidad
mumirin	esclarec tala
mur	ciélagos
muu	apiadarse; condolerse; encariñarse
myi	saare tubercal cls
más	yauti; yawati
másomenos	ervida kiiwo; loba
naa	nura naarira; rira
naaj	acuta mata
naajga	acompañando kraachago; yeekwilo tiki
naajgriga	mozo
naajmata	naanta na vrb
naakarika	erguirse
naakiwa	cardón
naantimal	vrb
nae	cha waacha chorida toro; nom waagri español
nakasuri	adv raíz; frecuentemente
nannaa	ñoo divisar
nappi	avanzara saltos; generalmente
narra	ciones
narracio	imina weewi lun aqu
natura	fiera; za
nau	dera; scabundo
nega	nada te ocurrirá; tivamente
negwa	adv su
nene	conjunción coordinativa
neta	equiw
neya	adv arri enseguida; inmediatamente
nfna	dem nijya ese
nimal	bitto dittake; poonchi; wiisatu hydrochoerus hydrochaeris
nina	dem pasad aquel
nine	plaga
niwai	wentak robar
niñ	et soñar; ñar
noh	coco; compadrito; ha nompl plea cocotero; koona uita; trs ger algodón
noke	taauku hablarburdamente
nokenta	pooti adv nom
nokentawen	cuándo vuelves
nombre	papose
nombri	cé
non	cosecha
normas	hermana; prima
noso	os vivimos
nosotros	papayo
nostal	cé; elancolía
nowe	us burros
nowera	acaccer; imp pron acontecer; ocurrit; prender
nsukwekkwe	leopardus pardalis leopardus wiedii; tigrillo
nuevo	caria taina
nuke	blando
num	cinco; dos; ef; num cinco; plantas; refiriéndose aextensiones; tres
nyaaya	buche
nyattagra	tizón
nyuukr	bai aro alegt nyottuwagga; bálsamo; estrella; luceros
obj	vrb hilar algodón
obje	bajagua; dolor mu wecriya; gavilán; gavilán grande; macizos; vrb tos grandes
objeto	eucalipto
objetos	anchos; continentes; cóncavos; redondos; refiriéndose; vi grandes; vri esféricos
oblon	cé tiimujna; solera
obs	escampar
ocu	pue
ocurren	uutakri
odo	relativa ratissima
offi	cinarum; kitya
offici	rem
okkra	pobre; querido
olor	muyag
oogoniri	cocido al humo; oosok ad noa ahumado
ookwa	resistir; tener aguante
oosok	caramba
ooyo	riga
oracio	ol nes
ore	achiotero; kraarikra; kroosu lana; llana; na
orga	siura
ori	bordón
orina	grillo; tigre thera sen seu; uñita
osentimientode	waabrakaariwz
osobriri	chupado
otro	cé; objetos tijlaka largos; oblongos
ounol	mento rato; pausa
owe	cuántos hijos tienes; ruku mpli st puerco
owesu	vri afec
owi	agrupar; paujil; piar
paa	pacha; yani
paagwa	mocturmaloppo itti
paala	paalinar; peer nar; pigas paalinare; puulinare; tussakrawakra; ñame
paalanakra	ñame
paali	ñaabru nom rolera roja
paaligru	guacharaca
paapa	nomb soowesu gruttari kraari; paapasito lido; paapasu gruttari; soowesu
paapas	muñeco
paapelu	papel motru neda; papeles
paato	noi ra mi hee
paatu	galandria; guinco; guineo
pad	cas peces; ef; no nadar
padre	ci lia paapasu gruttarj
pag	guacharaca; plag pajarilla
paguw	pestilente
pal	mas
palma	allineta; jukka ennaka sabal; jukka waacha elacis guineensis; león
paloma	guarumo
pana	congo
par	rawa
parti	cular; wikaagra yowi
partici	ovejo
particu	pobre; pobrecito; querido
partir	marcharse
pasad	dem plead aquellos
past	diversos; varios
pasto	gwrakketu
pati	tubé lla
pecna	jeto mu siigkri pukkru; peenarittukra; riiti pukkr
pecu	liar; premeditada
pedar	jaakwec
pee	gallina rizada; gu logko; rizada
peer	abuelo; anciano
peeña	mosca real
peli	bei groteente laatee
pen	arroyo grande
pequeño	no tamaño
per	animales gaggwamata; arriba; asado ib ojni kwaana; asar arriera; bes noctar; colarse; lel plural; maluco; padre ette; periquito; plural; si hubiera habido comida; specialmente europeos; va sonas; wiiyal sonas
perci	ceiba roja; tolúa
percibi	vrb
perpendicular	burn niente norte
perro	krutikkwi
pers	cls relati
perso	espabilarse; spantar
person	conun calabazos
personas	kragga plural; kwi plural
perspi	cillata
pez	anímica kossoriya; bajagua; bay; bocona; botifo; chancado; jummesu; kceru; laa; luggali; nyctibius griseus boni bodoque
peññukragga	meleras
phas	deca; isa isa; matodea; tie kuurupretto
picle	guanábana castilla
pigara	danta
pigera	ya
pigoress	tortera
pigueazos	guicharo; guácharo; ka
pigura	oy; zx
pippidal	golondrina
pis	basura acumulada desisti yagka; lagartija
pitro	luci goye masajcar; repasar
pittiennaka	chupaflor; espa nompl vendi chupaflor
piuju	pavo
pla	des; ef; hum nos; leña nos; nos
plan	ga tas kraggwika; rática eleocharis mutata
planta	acostado bixa os; amarilla lugkre; ammuna; arej taautadi capparis verrucosa; aristolochi ma tagaar contrapatoco; barbaca; batamb barbaco; blanco sommo; bruuru wa; cañandonga; cereus hexagonas; cimarrón nyoodakra capsicum baccatum; espinoso blccu; jojligkra sesamum alg indicam; juugku; koobru ittiya capparis; macho moogowakra saawiri; majagua ittu; marrón kuuwiyoorokra; mookara sommo amaus dubius; naakiwa; naawika acanthocedelgad reus tetragonus; paaradakraa masa acuminata; pazradakraa musa inata; pecyogkra; ryookra capsicam amara; semilla; taagkrawakra casar jenus cajan; taagkrawatop nisa; takkwa ittiya rawvolfía; tecriya eleocharis mupeque tata; tiiru chakra; waajau serna reticulata; waara; waara rujga; yaanten plantago major; yoorogra gossypium
plantas	wagga plural
plu	temple illa; voluntad
plá	jukket tano musa acuminata
plátamo	rooro musa
plé	rebuscar
poco	mente yokowinte
pol	cascabel
poly	uijao gama
pooro	niya; yannaka
porel	wattiniki hoy
pospone	asu; concavidad; lita; motocicleta
praata	guinco
pre	culo; flexibles parda; joowagante samana bej moye; llantén; lojkartod lisaso; montaña vieja; rs querer; ya me ooyokra bañé
preci	ta
precisa	mente vivía así; nukiwara
prera	que
preten	amotoso; sidón
pretiosa	num taama br dos
pri	alowatta seniculus; mate alouatta seniculus; mate cebus albifrons cesarae; simón
prigata	vrb
priimub	nos cacral suelo
pro	guurt; itual kwiila; kwitwita; lukkta gruttari; nombres; res
progotiwa	vrb
pronombres	gativos; gatizos; gusa males; interrogativos; lwara ammarawe taukara inmiti; mana bejsaara; managkre kike; monteador; negativos; no duermo bien; re; relativos; terrogativos; vos
proovra	yuca
prop	bijao
pros	ridad
prospe	cé; lad
prote	sompc zoo cucarachero; upervisar
pré	callejón; camino explayado; hija
prés	cor nom dedo índice; konnew kokkwa kweerini; nom dedo medio; num espe dos
prési	nota prést
prést	ad parta olor cobrizo; cocu piu; nim; pavo; pixju maría palitos; pulga
puda	nauscabundo; pestilentc
pue	ciudades; dtr blos; monteador
pul	unag monata
pundungo	tamandúa
pur	urea
purpa	que waencha dina ire; uezo
purpuras	cens purpurascens; nba; si pls iguana
puta	mayor; señor
qua	al drivalvis
quadrival	bot
que	mos acá; pavo; pisco
qui	vrb
raajga	ra apartar
raaka	vaca
raara	encrvarse; enfadarse; irritarsc
raasog	japan raasont; ratón
rajbri	bujío; dormilón descuidado
rajcuwi	rabiar
rakka	coordi gowi
rakkra	hartarse
rakkwata	prést
ralisadapar	rést
rampkas	guásimo
rap	nc tados
rastro	arará macho; atardecerse; bled amar moogowakra saawiri; bled mujer
ratikkw	kogkra
rawatuttu	mana
rayado	orlili apga denadas
rbol	aantiti coccoloba obovata; ikkokra acacia glomerosa; jecrati gyrocarpus americanas; likkragra combretum fruticosum; moorokra spondias; nyooroti myroxylon balsamum
rde	kraa; kraa chorida
rea	prunnimata
reci	dosc ale piente; nte; objetos largos; piente; sientes taakwateycemekenta; tos man animales
recipien	calderos
reco	maíz rrido; num koo uno
reesa	res
refe	nom caney; palma africana; palma amarga
refi	adassi mpr ést bogotá; animales; animales fon grandes; aparatos; ata jompr rést bogotá; boa; flexibles; iéndose eventos extraordinarios; macizos; objetos; objetos largos; objetos macizos; oblongos liteyeemekenta; plantas; puerco; quiv buwada; stos macizos; uiv
refirién	an máso; animales; animales grandes; cañaguate; cualidades; flexibles wiimari; imales; impl rést caballo; obgwaagu jetos; objetos; plata; rayanta im srillo; tigre
refiriéndose	animales; coeedor pioos; cucaracho; matapiojos; objetos agredi largos naakatimata
refirión	bagre
rela	ente corto; machetes; tivamente esféricos
relativamente	lejano
repre	gru sentativo
reptil	gwaakwipolychrus marmoratus; jobón; kallo; liimuttu; liimuttutu cnemiloma dophorus lemniscatus; lobo; waana
res	guardo
reser	soino
residen	ón
respetar	equív; honrar; reverenciar
resquebra	li jado
resya	sem derribar
rey	aabrintalakkra sarcoramplus papa; waggabrilakkra; waggabrinta; waggabrintalakkra sarcoramphus papa
ribri	burro; cabios
riggiloa	vrb
rii	risu
rikati	canoa
rilpiés	binno; kajmimiro; minno
rinart	picar
rmuni	esk caca genipa americana
robin	mi; zorro chucho
roo	vrb
rre	bochere; ecro; kochere
rrenc	presrode tar
rse	raarakaa; tuttudakaa
ruj	detabacojonnawa; gatopardo; kaarakanta
rukke	vrb
rukkwaya	rakra
ruku	refregar; restregar
rutina	pro
ruto	dukkruwa
rve	chokkrikwa; sokkrikwa todiros rum cinereum; todirostrum nigriceps pa chupa
saa	adv tana fuerte; dormilón taarasakka; firme; ka; médic takka dico; nooka; ojalá que duermas bien; saggala
saagatta	sesos
saajino	mana; saíno
saaka	clasificador; estrecho; impar; kamujna um dos; kari dj angosto; kateyeemekenta num cinco; objetos atados ocmpacados; otro
saale	salir
saanikaa	excl vrb
sabo	sy salados
sabor	angosto sazka chograwx; cttekragga; ennegragga
sagg	animales
sakabri	siigkri; tigre
sakagaabra	cera
sakagatta	cera
sakakakkra	pabellón auricular
sakkwi	apisonar
sal	adi augurar
sala	eldi completamente; enteramente
san	guacamaya bandera
sanctae	rartae; sartae; thecadact ylus rapicauda; thecadactylus rapicauda
sangre	consecuentemente
sanos	arder
sapo	coronco zoo convertir; corral
sar	mana; miiansu; miisi; misa; muiisi; nún felissilvestris catas
sas	moler
sassada	conjunción consecutiva
scorpioi	des
sculo	figar masculinos no
scvrpioi	biwiti; ligkowa; maaku; sagirwa diitake
sectos	maría palitos
see	aquí conciuye su historia; celia; como ramas delos árboles; delgados; ofrecer; sense dar
seeya	picotear
segunc	centro; futuro; medio; mitad
segunda	parte diccionario españ olette
semi	secas
sen	dejar; ss; tidos
sentakri	coriar nompli sigsinna prést; divis seññ
senti	niento derakkrakaariwa
sentimiento	botifo tiibru
sentimientode	iiprikaariwaa
sentir	afrecho; africana; jecri; jeerikaa; jissa; jissakaa; krecya krecyakaa; mekaa; wajkaa; wee
sentirse	joorikaa; krecyakaa; man malambo
sep	atun; tenatum
seppa	barbul; pacopaco
septe	kitt natum
ser	ente mastigodryas pleei; ij; jottokaa; ku clasificador; kwi clasificador; pagar; tj; wii; wiina
serpiemte	berrendo
serpiente	aaratakkewa; bollon bobo; carpinterito; jilwectowaya liophis; mapaná bothrops asper
servi	cé; recipientes
sessero	cigarrillo; grillo
sestar	unas grande brecbrekwa
seña	pa
señño	onte
sicera	alimentos; palom ria
sificador	cabezajattakra; ja upo; jaakra; vía actea
sigsinna	durar; rootc
siig	kei panthera onca
siipurt	uñita
sij	ga bei coragyps atratus
sil	esterilla; junco
silves	nidoscolus urens; tre malachra alceifolia
sinextre	mapaná; planta mapaná
singu	estoy llorando; isauka guuri
sipho	puguta naptera
siphonap	ittilke tera
situación	bejtuuriwaa
ski	arriba
sobre	turales
sobresaliente	igura dooro
sompe	cucaracha
son	dl tikwari
sonic	burra germinar
sonido	aromo; bejuquillo
sonnt	enfadado; irritado; soññoti enojado
sont	muela dij aggra
sookito	nom
soorpio	ón
soosokw	suero
sooweda	ad deera
sor	cla presao animosidad; ct cantar; dela presa; perf presa; trinar; vrb
sowelu	go
spi	bollor mosus
squa	al mosa
ssificador	rujgaka; thurium crassinerviun
ssistencia	gatta clasificador
stanle	yanus
stigkr	oso caballo
stri	idae
sudes	ino final
suf	corta nompl dente guarumera; for yuu dir vrb; imp sufij sero lucir
sufi	chupado
sugganiri	alimento cocido; br adj mucha cocido
sukkwiga	vrb
sunari	valiente
sunna	rikaariwaa
super	hija
sur	mana
suunsura	ngo
suwt	ruña; soolanu
taag	que
taakwa	clasificados
taakwsa	jagúey
taalrwa	otro; wa
taapa	bagaña
taara	españo; gallineta; guachiclo
taautad	desgraciado; miserable; perverso
taba	dae; nidae
taca	nív
takri	saltar hacia arriba
takwaj	sowi
tamañt	me vrb
tar	azul
tarar	hach kkegowiti
teaguku	tabaco
teco	mapurito
teekri	agua reposada; aguas profundas; explayada; jagúey
teeya	tookr tocar maraca
tel	animales
telas	num
telefo	solicitar
tem	acabarse; agotarse
tenerla	mekaa
ter	cé; lamentar; llorar; quejarse
tetrago	sobrina
tewera	girando; pron dando vueltas; rotando
tex	plástico
tia	tityw; ñiu
tie	rra
tii	teewitakri
tiibr	nom ardit seban
tiiyo	nom
tim	camino explayado; jesucristo
tipod	babilla; waakwati
tnsecto	palu wakkwa
tomasitc	araña
tootebri	nom
tootutt	no alm
tortuga	biikwiti; biiwiti; groontu
total	mente
totear	reventar desde adentro
totun	venezolana
tra	adv bajo; ati; dicionales; pa dicionales; tato; urabaja; yecto
traba	uiv
tradi	ales; arhuacos; cionales; ionales
tradicio	juk nales; rales
tran	tintinit
transpor	morrocoyo
tronco	paajni
tti	cé
tubércu	don
tubérculos	comola yuca
tuna	name; paalinar; paalinare; san lanar
tunnu	tukkwa asc vrb
tura	tutikckn cls suf
tuu	kakkrasig
tuugat	nom
tuugkeere	ranita
tuugwa	mirar; ver
tyco	sicum
tyrunns	arches venezuelensis; myiarchus fer
tán	nar agua no; prést sem timbo; tijera
tíi	nom
típi	bledo blanco
ubre	dioses; padres
uca	cambiarla; sac convertir
ugguwiga	calderos
ugguwikri	ni vrb
ukapaka	ukkwabr adv vrb
ukka	sin dientes
ukkrakikkrasagra	in nom estarc cejas
ukkwa	hachar
una	ad cantidad originalmente mayor; codorniz; estando atención weenoo; kkaowaya
unguis	bejuco uñita; canasto
ungus	cati
unra	hupa
uste	sur
uti	idas como zemilla
uttu	zarigúeya didelphis; zorro chucho
uuga	banco; polvorin
uukasu	banco; banquito; cé kaakri; kaakrimata; olivo; uatakri; uti; uukri
uuliy	golero
uurader	cé; disgustarse; molestarse
uuta	uuye vrb
uutu	loma
uuyamakra	auyama
val	hay que; turas tr
varias	campas tmootc mote
varic	berr gallineta
varón	liga
vegeta	kaaw ción arbustiva
vegetal	citi clasificador; ka dasificador; tura clasificador
veinte	pie
veme	sis
ven	terminar untrabajo
venado	lochutikkwi mazama
vene	ado; copey; mente
vento	oo amarrar
ver	pasaba iendo
verbos	elaborar emb; nine
verdo	reve chupaflor
verti	objetos
vetcad	mana
veñgs	planta mapaná
visto	nom; pavo; yakeka
vokaa	hartarse
vre	disn frutos
véase	oso caballo
vérte	mbares
waa	angustia; cha taara; cé; estar; haariwaa; imp nc ser; impar; mar melkwi; niani lguana iguana; objetos esféricos mu; objetos redondos; otro; redondos; tiecm waana; waacha brakaa; waga waati; zozobra
waakra	guacamaya
waakw	bo throps asper; colirio; lagañas rakikkra im; mapaná; nc ojo; peeye eya; pof figara ss; waakwa sonti; waakwa soomtoro; yeepe eya
waamajna	cé; num waans dos; objetos re no dondos
waanch	nom
waanias	num nom
waari	des ciac
waarig	paletilla
waasu	tía
waawa	mamífero ivoro cerdocyon thous; no vrb; zorra
waawagowi	escapar; fegarse; jooyalisadapar trs escchar; vislmbrar; volverse visible; wiika
waawe	mgowi; wii; wiika
wagga	acorta distancia; rey golero
waggabri	rey golero
wainoc	acci; acu; pal dez ge
wajgobri	wakkrita vrb
wakkani	ceiba blanca; libélula
wakkomata	vrb
wassa	in wakkokwa
wati	recto
waugowi	weekaa vrb
weckegs	vrb
wee	code wee; grutia; verano; waya; weenok kowe wekwe
weeme	vrb
weenoo	ad vrb
weenta	amañarse; nt sem hallarse; vrb
weentakaa	bals vrb
weentakaari	indio
wet	hombre solo; joaco negro; plateado
wigpilu	wigtila; wigtiru
wii	ada; calor; cuñado; fl vrb; haya owi; no; sila; sorra; wiisimagka
wiicha	culebra; lc ya owi jii; wiichayaowi; yaowi; yxo
wiijma	sol nompl ref yu; wigkilu; wigpila; wigtiru
wiiya	augura simple; insipido; sin sabor
wiiyabri	lloradero
wiiyagowi	imitar; remedar
wiiyamoowi	presentir
wijassa	ap saber; tener conocimientos
wilao	noa wiima no nom
winoo	li eniz
wipa	mazan vrbtrs sila; sobar
wist	pl npolo
wit	ta
wiyentu	nom
wraa	cé; impar; otro
wwauwa	weugowi; wiikril gowi; wiiwika
yaa	bollomojoso; guiácharo; ikwarieira barbara; maluco; mana mekaariwaa; mowa; nookwi; remunnaa; tuu; yaatikwari
yaame	maluco
yaan	ducño; padre
yaarituwi	vrb
yaasappi	wari jmpli ácharo
yaati	palom kewari
yaau	yawekkwi
yag	nar plantapooroniya
yagka	keera
yaj	liter padre ment menor; tener; yake haber
yajsikwe	cé; noa residir; vivir
yannakakwa	herm vrb
yanwa	estar alerta; prestar atención
yauti	mejor; más bien
yawati	comemos otra vez; más bien; ycegkru
ydrochae	nón
yeegz	nom desbandarse; vómiti refiriéndose asemillas; yeegka seres humanos
yeekra	ducño
yes	hermana; prima
yoj	vrb
yoo	galáp brigowi
yooro	colaborar barba yecyowaya; envidia; jukkru; liga; nom vrbtrs algo ayudar; prima; primo; waggaya
yoorojukkru	pelota
yuaa	co ningún momento
yuca	delgadas; nta tizón denyatta
yug	sur wirinta
yuggayane	dem wukkri
yugkwi	ga
yugwi	rinta
yukka	vrb
yukku	code chic mata
yukkumata	yumal vrb
yukkwaya	entrañas; trisccras
yumm	yukkwa ca vrb
yummn	loc nom nadie
yuu	diitake dokkwi
yuugka	no vrb
yuuka	extraviarse; yuyake perderse
zapatc	tacán
zoo	emeditadamente gwerakkati
ácido	acostarse saborkwraarani
árbo	ven les; weetokranta
árbol	avewipproro myiarchus tuberculifer; beckra brosimaum alicastrum; becwanisa; beza tissakra; biisakra sterculia apetala; cadillo; calabazo debot cuggrawa; calabazo deikkawa; camaleón; canaste camajón; canoa; cañamana; cerbaran semilla; chaparro kajmaj; cho; cocuelo; daggwra enterolobium; desnudo ñaabri burserasimaruba; dukkruwakra annona purpurea; dukkruwatutikkwi anmnonasqua pelli mosa; ei; fruto bot debiisawa; fruto debeewa; gaawi; guasale; hamaca kraa; iira; ittu; jarikati; jiira vitex cymosa; joonti centrolobium paraense; jootikarawakra elicoccus oliviformis; kaaramokwarakra licania arborea; kajbussara caesalpinia ebano; kajkakkeri; kajromoroti acacia macracantha; kajruuruti platymisciam sp; kalloti wittmackanthus; konnckra zanthoxylum; kuunsiwakra hymenaca; kwaati cavanillesia platanifolia; kwraarati; lechuza; liinta lintatuwa; maalabo; maalapu ka pterygota excelsa; majagua; majnakuumisa; manta kooroda liitake; myiarchus; pappuwa; pseudobombax septenatum; rcc gaggwwwra igkiln; ri; sume ojoso; tiichakra ceiba pentandra; tiukra melicoccas; tuggraya pseudobombax man septenatum; tukkra guazama ulmifolia; tunnuruwakra lecythis minor; vr acacia glomerosa; wanisa; wigpilo
época	asegurar; enamorado; nieta
índice	neque
ñaa	sobrina; ñaa vrb
ñaabri	másigo; name
ñaakrini	cachito
ñaaya	buche; comida
